time_s,acc_x_g,disp_top_mm,disp_mid_mm
1.42,0.038274,0.833094,0.610936
1.43,0.029007,0.857299,0.628686
1.44,0.019146,0.878150,0.643977
1.45,0.008899,0.895218,0.656493
1.46,-0.001518,0.908153,0.665980
1.47,-0.011885,0.916692,0.672241
1.48,-0.021989,0.920661,0.675151
1.49,-0.031624,0.919984,0.674655
1.50,-0.040599,0.914684,0.670768
1.51,-0.048748,0.904877,0.663577
1.52,-0.055927,0.890775,0.653235
1.53,-0.062023,0.872670,0.639958
1.54,-0.066953,0.850931,0.624016
1.55,-0.070670,0.825991,0.605726
1.56,-0.073157,0.798331,0.585443
1.57,-0.074434,0.768473,0.563547
1.58,-0.074547,0.736958,0.540436
1.59,-0.073574,0.704333,0.516511
1.60,-0.071616,0.671140,0.492169
1.61,-0.068793,0.637896,0.467790
1.62,-0.065241,0.605085,0.443729
1.63,-0.061104,0.573148,0.420309
1.64,-0.056531,0.542469,0.397811
1.65,-0.051670,0.513376,0.376475
1.66,-0.046660,0.486126,0.356492
1.67,-0.041630,0.460916,0.338005
1.68,-0.036693,0.437873,0.321108
1.69,-0.031942,0.417065,0.305848
1.70,-0.027451,0.398501,0.292234
1.71,-0.023269,0.382138,0.280235
1.72,-0.019422,0.367893,0.269789
1.73,-0.015913,0.355651,0.260811
1.74,-0.012723,0.345274,0.253201
1.75,-0.009817,0.336613,0.246849
1.76,-0.007141,0.329517,0.241645
1.77,-0.004631,0.323843,0.237485
1.78,-0.002215,0.319466,0.234274
1.79,0.000181,0.316281,0.231940
1.80,0.002630,0.314215,0.230424
1.81,0.005197,0.313227,0.229700
1.82,0.007939,0.313309,0.229759
1.83,0.010894,0.314481,0.230620
1.84,0.014087,0.316799,0.232319
1.85,0.017518,0.320339,0.234916
1.86,0.021168,0.325198,0.238478
1.87,0.024995,0.331480,0.243084
1.88,0.028934,0.339292,0.248813
1.89,0.032903,0.348731,0.255736
1.90,0.036798,0.359878,0.263910
1.91,0.040503,0.372781,0.273372
1.92,0.043891,0.387454,0.284133
1.93,0.046829,0.403864,0.296167
1.94,0.049182,0.421926,0.309413
1.95,0.050822,0.441499,0.323767
1.96,0.051630,0.462383,0.339081
1.97,0.051501,0.484316,0.355164
1.98,0.050352,0.506980,0.371786
1.99,0.048121,0.530004,0.388669
2.00,0.044778,0.552971,0.405512
2.01,0.040319,0.575425,0.421979
2.02,0.034774,0.596885,0.437716
2.03,0.028206,0.616854,0.452359
2.04,0.020707,0.634834,0.465545
2.05,0.012401,0.650341,0.476917
2.06,0.003439,0.662920,0.486141
2.07,-0.006005,0.672154,0.492912
2.08,-0.015739,0.677684,0.496969
2.09,-0.025557,0.679219,0.498093
2.10,-0.035246,0.676540,0.496129
2.11,-0.044590,0.669522,0.490982
2.12,-0.053382,0.658124,0.482624
2.13,-0.061421,0.642406,0.471098
2.14,-0.068528,0.622521,0.456515
2.15,-0.074545,0.598716,0.439058
2.16,-0.079340,0.571324,0.418971
2.17,-0.082813,0.540765,0.396561
2.18,-0.084899,0.507521,0.372182
2.19,-0.085568,0.472140,0.346236
2.20,-0.084824,0.435210,0.319154
2.21,-0.082708,0.397348,0.291389
2.22,-0.079296,0.359189,0.263406
2.23,-0.074693,0.321362,0.235666
2.24,-0.069032,0.284478,0.208617
2.25,-0.062467,0.249117,0.182685
2.26,-0.055171,0.215807,0.158259
2.27,-0.047326,0.185022,0.135683
2.28,-0.039123,0.157165,0.115254
2.29,-0.030750,0.132561,0.097212
2.30,-0.022388,0.111457,0.081735
2.31,-0.014208,0.094009,0.068940
2.32,-0.006363,0.080297,0.058884
2.33,0.001013,0.070312,0.051563
2.34,0.007813,0.063977,0.046916
2.35,0.013952,0.061139,0.044836
2.36,0.019378,0.061591,0.045167
2.37,0.024062,0.065075,0.047722
2.38,0.028004,0.071297,0.052284
2.39,0.031228,0.079939,0.058622
2.40,0.033781,0.090669,0.066490
2.41,0.035727,0.103157,0.075649
2.42,0.037147,0.117084,0.085861
2.43,0.038128,0.132148,0.096909
2.44,0.038764,0.148080,0.108593
2.45,0.039150,0.164646,0.120740
2.46,0.039372,0.181649,0.133209
2.47,0.039511,0.198936,0.145886
2.48,0.039632,0.216395,0.158690
2.49,0.039785,0.233953,0.171566
2.50,0.040000,0.251573,0.184487
2.51,0.040288,0.269247,0.197448
2.52,0.040637,0.286989,0.210459
2.53,0.041017,0.304827,0.223540
2.54,0.041379,0.322793,0.236715
2.55,0.041656,0.340915,0.250005
2.56,0.041769,0.359207,0.263419
2.57,0.041628,0.377660,0.276951
2.58,0.041141,0.396236,0.290573
2.59,0.040213,0.414863,0.304233
2.60,0.038755,0.433428,0.317846
2.61,0.036687,0.451774,0.331301
2.62,0.033945,0.469707,0.344452
2.63,0.030481,0.486989,0.357126
2.64,0.026271,0.503351,0.369124
2.65,0.021315,0.518488,0.380225
2.66,0.015640,0.532081,0.390192
2.67,0.009301,0.543796,0.398784
2.68,0.002379,0.553302,0.405755
2.69,-0.005016,0.560277,0.410870
2.70,-0.012753,0.564424,0.413911
2.71,-0.020677,0.565485,0.414689
2.72,-0.028620,0.563248,0.413049
2.73,-0.036398,0.557561,0.408878
2.74,-0.043825,0.548340,0.402116
2.75,-0.050711,0.535577,0.392756
2.76,-0.056873,0.519345,0.380853
2.77,-0.062140,0.499801,0.366521
2.78,-0.066355,0.477186,0.349937
2.79,-0.069388,0.451824,0.331338
2.80,-0.071133,0.424113,0.311016
2.81,-0.071515,0.394522,0.289316
2.82,-0.070493,0.363578,0.266624
2.83,-0.068063,0.331856,0.243362
2.84,-0.064255,0.299965,0.219974
2.85,-0.059135,0.268528,0.196921
2.86,-0.052802,0.238175,0.174662
2.87,-0.045390,0.209521,0.153649
2.88,-0.037055,0.183150,0.134310
2.89,-0.027978,0.159603,0.117042
2.90,-0.018359,0.139361,0.102198
2.91,-0.008407,0.122836,0.090080
2.92,0.001664,0.110360,0.080930
2.93,0.011641,0.102172,0.074927
2.94,0.021316,0.098423,0.072178
2.95,0.030498,0.099165,0.072722
2.96,0.039012,0.104356,0.076528
2.97,0.046707,0.113863,0.083500
2.98,0.053461,0.127463,0.093473
2.99,0.059179,0.144860,0.106231
3.00,0.063799,0.165689,0.121506
3.01,0.067292,0.189531,0.138989
3.02,0.069659,0.215921,0.158342
3.03,0.070934,0.244373,0.179206
3.04,0.071175,0.274381,0.201213
3.05,0.070468,0.305445,0.223994
3.06,0.068916,0.337079,0.247191
3.07,0.066638,0.368819,0.270468
3.08,0.063763,0.400244,0.293512
3.09,0.060426,0.430977,0.316050
3.10,0.056759,0.460694,0.337843
3.11,0.052889,0.489130,0.358695
3.12,0.048933,0.516076,0.378456
3.13,0.044993,0.541388,0.397017
3.14,0.041154,0.564974,0.414314
3.15,0.037478,0.586795,0.430317
3.16,0.034009,0.606860,0.445030
3.17,0.030767,0.625212,0.458489
3.18,0.027748,0.641926,0.470746
3.19,0.024931,0.657092,0.481868
3.20,0.022275,0.670813,0.491929
3.21,0.019726,0.683186,0.501004
3.22,0.017217,0.694305,0.509157
3.23,0.014677,0.704238,0.516442
3.24,0.012030,0.713035,0.522892
3.25,0.009204,0.720714,0.528523
3.26,0.006137,0.727258,0.533323
3.27,0.002774,0.732624,0.537257
3.28,-0.000920,0.736728,0.540267
3.29,-0.004964,0.739464,0.542274
3.30,-0.009355,0.740701,0.543181
3.31,-0.014066,0.740291,0.542880
3.32,-0.019047,0.738077,0.541256
3.33,-0.024226,0.733906,0.538197
3.34,-0.029509,0.727633,0.533597
3.35,-0.034783,0.719139,0.527369
3.36,-0.039919,0.708335,0.519446
3.37,-0.044777,0.695176,0.509795
3.38,-0.049210,0.679664,0.498420
3.39,-0.053067,0.661862,0.485365
3.40,-0.056206,0.641893,0.470722
3.41,-0.058489,0.619949,0.454629
3.42,-0.059797,0.596283,0.437275
3.43,-0.060027,0.571218,0.418894
3.44,-0.059104,0.545135,0.399765
3.45,-0.056979,0.518468,0.380210
3.46,-0.053633,0.491700,0.360579
3.47,-0.049082,0.465342,0.341251
3.48,-0.043373,0.439932,0.322617
3.49,-0.036589,0.416014,0.305077
3.50,-0.028844,0.394127,0.289026
3.51,-0.020278,0.374784,0.274842
3.52,-0.011061,0.358467,0.262876
3.53,-0.001382,0.345604,0.253443
3.54,0.008555,0.336561,0.246812
3.55,0.018534,0.331628,0.243194
3.56,0.028338,0.331012,0.242742
3.57,0.037749,0.334827,0.245540
3.58,0.046562,0.343093,0.251601
3.59,0.054583,0.355730,0.260869
3.60,0.061641,0.372564,0.273214
3.61,0.067590,0.393328,0.288440
3.62,0.072313,0.417670,0.306291
3.63,0.075726,0.445158,0.326449
3.64,0.077780,0.475299,0.348554
3.65,0.078460,0.507548,0.372202
3.66,0.077787,0.541318,0.396966
3.67,0.075817,0.576003,0.422403
3.68,0.072635,0.610992,0.448061
3.69,0.068356,0.645681,0.473500
3.70,0.063116,0.679492,0.498295
3.71,0.057071,0.711884,0.522048
3.72,0.050390,0.742367,0.544403
3.73,0.043247,0.770513,0.565043
3.74,0.035822,0.795964,0.583707
3.75,0.028284,0.818436,0.600186
3.76,0.020798,0.837722,0.614330
3.77,0.013511,0.853697,0.626044
3.78,0.006553,0.866310,0.635294
3.79,0.000029,0.875585,0.642096
3.80,-0.005978,0.881610,0.646515
3.81,-0.011411,0.884533,0.648657
3.82,-0.016239,0.884546,0.648667
3.83,-0.020459,0.881880,0.646712
3.84,-0.024089,0.876791,0.642981
3.85,-0.027169,0.869549,0.637670
3.86,-0.029756,0.860425,0.630979
3.87,-0.031922,0.849682,0.623100
3.88,-0.033745,0.837566,0.614216
3.89,-0.035311,0.824297,0.604484
3.90,-0.036703,0.810061,0.594045
3.91,-0.037999,0.795013,0.583009
3.92,-0.039269,0.779266,0.571461
3.93,-0.040566,0.762898,0.559458
3.94,-0.041931,0.745952,0.547032
3.95,-0.043382,0.728440,0.534190
3.96,-0.044919,0.710350,0.520923
3.97,-0.046520,0.691651,0.507211
3.98,-0.048141,0.672304,0.493023
3.99,-0.049722,0.652272,0.478333
4.00,-0.051186,0.631528,0.463120
4.01,-0.052439,0.610059,0.447376
4.02,-0.053382,0.587885,0.431116
4.03,-0.053910,0.565058,0.414377
4.04,-0.053915,0.541674,0.397227
4.05,-0.053299,0.517868,0.379770
4.06,-0.051970,0.493826,0.362139
4.07,-0.049852,0.469783,0.344507
4.08,-0.046889,0.446014,0.327078
4.09,-0.043047,0.422839,0.310082
4.10,-0.038320,0.400607,0.293779
4.11,-0.032726,0.379697,0.278444
4.12,-0.026317,0.360500,0.264367
4.13,-0.019171,0.343411,0.251835
4.14,-0.011394,0.328817,0.241132
4.15,-0.003121,0.317081,0.232526
4.16,0.005493,0.308532,0.226256
4.17,0.014274,0.303450,0.222530
4.18,0.023032,0.302059,0.221509
4.19,0.031570,0.304509,0.223306
4.20,0.039689,0.310874,0.227974
4.21,0.047192,0.321144,0.235506
4.22,0.053892,0.335224,0.245830
4.23,0.059618,0.352923,0.258810
4.24,0.064219,0.373968,0.274243
4.25,0.067571,0.398001,0.291867
4.26,0.069580,0.424588,0.311364
4.27,0.070184,0.453226,0.332366
4.28,0.069357,0.483359,0.354464
4.29,0.067110,0.514388,0.377218
4.30,0.063490,0.545686,0.400170
4.31,0.058577,0.576616,0.422852
4.32,0.052485,0.606545,0.444799
4.33,0.045356,0.634857,0.465562
4.34,0.037358,0.660980,0.484719
4.35,0.028676,0.684386,0.501883
4.36,0.019510,0.704612,0.516715
4.37,0.010067,0.721273,0.528933
4.38,0.000556,0.734060,0.538311
4.39,-0.008821,0.742761,0.544691
4.40,-0.017871,0.747251,0.547983
4.41,-0.026417,0.747498,0.548166
4.42,-0.034304,0.743565,0.545281
4.43,-0.041404,0.735596,0.539437
4.44,-0.047612,0.723815,0.530797
4.45,-0.052858,0.708516,0.519579
4.46,-0.057099,0.690053,0.506038
4.47,-0.060326,0.668820,0.490468
4.48,-0.062556,0.645248,0.473182
4.49,-0.063835,0.619785,0.454509
4.50,-0.064232,0.592883,0.434780
4.51,-0.063836,0.564986,0.414323
4.52,-0.062751,0.536519,0.393447
4.53,-0.061091,0.507875,0.372442
4.54,-0.058976,0.479407,0.351565
4.55,-0.056524,0.451423,0.331044
4.56,-0.053849,0.424180,0.311065
4.57,-0.051054,0.397880,0.291778
4.58,-0.048231,0.372672,0.273293
4.59,-0.045453,0.348659,0.255683
4.60,-0.042772,0.325890,0.238987
4.61,-0.040223,0.304382,0.223214
4.62,-0.037815,0.284112,0.208349
4.63,-0.035539,0.265038,0.194361
4.64,-0.033366,0.247101,0.181207
4.65,-0.031249,0.230237,0.168841
4.66,-0.029128,0.214389,0.157218
4.67,-0.026932,0.199509,0.146306
4.68,-0.024585,0.185574,0.136087
4.69,-0.022008,0.172584,0.126562
4.70,-0.019128,0.160573,0.117754
4.71,-0.015879,0.149609,0.109714
4.72,-0.012207,0.139794,0.102516
4.73,-0.008076,0.131264,0.096261
4.74,-0.003469,0.124183,0.091068
4.75,0.001608,0.118739,0.087075
4.76,0.007125,0.115137,0.084434
4.77,0.013028,0.113590,0.083299
4.78,0.019238,0.114307,0.083826
4.79,0.025653,0.117485,0.086156
4.80,0.032151,0.123295,0.090416
4.81,0.038592,0.131874,0.096708
4.82,0.044825,0.143314,0.105098
4.83,0.050687,0.157652,0.115611
4.84,0.056017,0.174862,0.128232
4.85,0.060652,0.194852,0.142891
4.86,0.064441,0.217456,0.159468
4.87,0.067246,0.242436,0.177786
4.88,0.068947,0.269485,0.197621
4.89,0.069450,0.298222,0.218696
4.90,0.068687,0.328210,0.240687
4.91,0.066623,0.358957,0.263235
4.92,0.063256,0.389928,0.285947
4.93,0.058619,0.420560,0.308410
4.94,0.052777,0.450270,0.330198
4.95,0.045831,0.478479,0.350884
4.96,0.037912,0.504620,0.370054
4.97,0.029179,0.528155,0.387315
4.98,0.019814,0.548594,0.402302
4.99,0.010016,0.565500,0.414701
5.00,0.000000,0.578513,0.424243
5.01,-0.010016,0.587349,0.430722
5.02,-0.019814,0.591815,0.433999
5.03,-0.029179,0.591815,0.433999
5.04,-0.037912,0.587349,0.430722
5.05,-0.045831,0.578513,0.424243
5.06,-0.052777,0.565500,0.414701
5.07,-0.058619,0.548594,0.402302
5.08,-0.063256,0.528155,0.387315
5.09,-0.066623,0.504620,0.370054
5.10,-0.068687,0.478479,0.350884
5.11,-0.069450,0.450270,0.330198
5.12,-0.068947,0.420560,0.308410
5.13,-0.067246,0.389928,0.285947
5.14,-0.064441,0.358957,0.263235
5.15,-0.060652,0.328210,0.240687
5.16,-0.056017,0.298222,0.218696
5.17,-0.050687,0.269485,0.197621
5.18,-0.044825,0.242436,0.177786
5.19,-0.038592,0.217456,0.159468
5.20,-0.032151,0.194852,0.142891
5.21,-0.025653,0.174862,0.128232
5.22,-0.019238,0.157652,0.115611
5.23,-0.013028,0.143314,0.105098
5.24,-0.007125,0.131874,0.096708
5.25,-0.001608,0.123295,0.090416
5.26,0.003469,0.117485,0.086156
5.27,0.008076,0.114307,0.083826
5.28,0.012207,0.113590,0.083299
5.29,0.015879,0.115137,0.084434
5.30,0.019128,0.118739,0.087075
5.31,0.022008,0.124183,0.091068
5.32,0.024585,0.131264,0.096261
5.33,0.026932,0.139794,0.102516
5.34,0.029128,0.149609,0.109714
5.35,0.031249,0.160573,0.117754
5.36,0.033366,0.172584,0.126562
5.37,0.035539,0.185574,0.136087
5.38,0.037815,0.199509,0.146306
5.39,0.040223,0.214389,0.157218
5.40,0.042772,0.230237,0.168841
5.41,0.045453,0.247101,0.181207
5.42,0.048231,0.265038,0.194361
5.43,0.051054,0.284112,0.208349
5.44,0.053849,0.304382,0.223214
5.45,0.056524,0.325890,0.238987
5.46,0.058976,0.348659,0.255683
5.47,0.061091,0.372672,0.273293
5.48,0.062751,0.397880,0.291778
5.49,0.063836,0.424180,0.311065
5.50,0.064232,0.451423,0.331044
5.51,0.063835,0.479407,0.351565
5.52,0.062556,0.507875,0.372442
5.53,0.060326,0.536519,0.393447
5.54,0.057099,0.564986,0.414323
5.55,0.052858,0.592883,0.434780
5.56,0.047612,0.619785,0.454509
5.57,0.041404,0.645248,0.473182
5.58,0.034304,0.668820,0.490468
5.59,0.026417,0.690053,0.506038
5.60,0.017871,0.708516,0.519579
5.61,0.008821,0.723815,0.530797
5.62,-0.000556,0.735596,0.539437
5.63,-0.010067,0.743565,0.545281
5.64,-0.019510,0.747498,0.548166
5.65,-0.028676,0.747251,0.547983
5.66,-0.037358,0.742761,0.544691
5.67,-0.045356,0.734060,0.538311
5.68,-0.052485,0.721273,0.528933
5.69,-0.058577,0.704612,0.516715
5.70,-0.063490,0.684386,0.501883
5.71,-0.067110,0.660980,0.484719
5.72,-0.069357,0.634857,0.465562
5.73,-0.070184,0.606545,0.444799
5.74,-0.069580,0.576616,0.422852
5.75,-0.067571,0.545686,0.400170
5.76,-0.064219,0.514388,0.377218
5.77,-0.059618,0.483359,0.354464
5.78,-0.053892,0.453226,0.332366
5.79,-0.047192,0.424588,0.311364
5.80,-0.039689,0.398001,0.291867
5.81,-0.031570,0.373968,0.274243
5.82,-0.023032,0.352923,0.258810
5.83,-0.014274,0.335224,0.245830
5.84,-0.005493,0.321144,0.235506
5.85,0.003121,0.310874,0.227974
5.86,0.011394,0.304509,0.223306
5.87,0.019171,0.302059,0.221509
5.88,0.026317,0.303450,0.222530
5.89,0.032726,0.308532,0.226256
5.90,0.038320,0.317081,0.232526
5.91,0.043047,0.328817,0.241132
5.92,0.046889,0.343411,0.251835
5.93,0.049852,0.360500,0.264367
5.94,0.051970,0.379697,0.278444
5.95,0.053299,0.400607,0.293779
5.96,0.053915,0.422839,0.310082
5.97,0.053910,0.446014,0.327078
5.98,0.053382,0.469783,0.344507
5.99,0.052439,0.493826,0.362139
6.00,0.051186,0.517868,0.379770
6.01,0.049722,0.541674,0.397227
6.02,0.048141,0.565058,0.414377
6.03,0.046520,0.587885,0.431116
6.04,0.044919,0.610059,0.447376
6.05,0.043382,0.631528,0.463120
6.06,0.041931,0.652272,0.478333
6.07,0.040566,0.672304,0.493023
6.08,0.039269,0.691651,0.507211
6.09,0.037999,0.710350,0.520923
6.10,0.036703,0.728440,0.534190
6.11,0.035311,0.745952,0.547032
6.12,0.033745,0.762898,0.559458
6.13,0.031922,0.779266,0.571461
6.14,0.029756,0.795013,0.583009
6.15,0.027169,0.810061,0.594045
6.16,0.024089,0.824297,0.604484
6.17,0.020459,0.837566,0.614216
6.18,0.016239,0.849682,0.623100
6.19,0.011411,0.860425,0.630979
6.20,0.005978,0.869549,0.637670
6.21,-0.000029,0.876791,0.642981
6.22,-0.006553,0.881880,0.646712
6.23,-0.013511,0.884546,0.648667
6.24,-0.020798,0.884533,0.648657
6.25,-0.028284,0.881610,0.646515
6.26,-0.035822,0.875585,0.642096
6.27,-0.043247,0.866310,0.635294
6.28,-0.050390,0.853697,0.626044
6.29,-0.057071,0.837722,0.614330
6.30,-0.063116,0.818436,0.600186
6.31,-0.068356,0.795964,0.583707
6.32,-0.072635,0.770513,0.565043
6.33,-0.075817,0.742367,0.544403
6.34,-0.077787,0.711884,0.522048
6.35,-0.078460,0.679492,0.498295
6.36,-0.077780,0.645681,0.473500
6.37,-0.075726,0.610992,0.448061
6.38,-0.072313,0.576003,0.422403
6.39,-0.067590,0.541318,0.396966
6.40,-0.061641,0.507548,0.372202
6.41,-0.054583,0.475299,0.348554
6.42,-0.046562,0.445158,0.326449
6.43,-0.037749,0.417670,0.306291
6.44,-0.028338,0.393328,0.288440
6.45,-0.018534,0.372564,0.273214
6.46,-0.008555,0.355730,0.260869
6.47,0.001382,0.343093,0.251601
6.48,0.011061,0.334827,0.245540
6.49,0.020278,0.331012,0.242742
6.50,0.028844,0.331628,0.243194
6.51,0.036589,0.336561,0.246812
6.52,0.043373,0.345604,0.253443
6.53,0.049082,0.358467,0.262876
6.54,0.053633,0.374784,0.274842
6.55,0.056979,0.394127,0.289026
6.56,0.059104,0.416014,0.305077
6.57,0.060027,0.439932,0.322617
6.58,0.059797,0.465342,0.341251
6.59,0.058489,0.491700,0.360579
6.60,0.056206,0.518468,0.380210
6.61,0.053067,0.545135,0.399765
6.62,0.049210,0.571218,0.418894
6.63,0.044777,0.596283,0.437275
6.64,0.039919,0.619949,0.454629
6.65,0.034783,0.641893,0.470722
6.66,0.029509,0.661862,0.485365
6.67,0.024226,0.679664,0.498420
6.68,0.019047,0.695176,0.509795
6.69,0.014066,0.708335,0.519446
6.70,0.009355,0.719139,0.527369
6.71,0.004964,0.727633,0.533597
6.72,0.000920,0.733906,0.538197
6.73,-0.002774,0.738077,0.541256
6.74,-0.006137,0.740291,0.542880
6.75,-0.009204,0.740701,0.543181
6.76,-0.012030,0.739464,0.542274
6.77,-0.014677,0.736728,0.540267
6.78,-0.017217,0.732624,0.537257
6.79,-0.019726,0.727258,0.533323
6.80,-0.022275,0.720714,0.528523
6.81,-0.024931,0.713035,0.522892
6.82,-0.027748,0.704238,0.516442
6.83,-0.030767,0.694305,0.509157
6.84,-0.034009,0.683186,0.501004
6.85,-0.037478,0.670813,0.491929
6.86,-0.041154,0.657092,0.481868
6.87,-0.044993,0.641926,0.470746
6.88,-0.048933,0.625212,0.458489
6.89,-0.052889,0.606860,0.445030
6.90,-0.056759,0.586795,0.430317
6.91,-0.060426,0.564974,0.414314
6.92,-0.063763,0.541388,0.397017
6.93,-0.066638,0.516076,0.378456
6.94,-0.068916,0.489130,0.358695
6.95,-0.070468,0.460694,0.337843
6.96,-0.071175,0.430977,0.316050
6.97,-0.070934,0.400244,0.293512
6.98,-0.069659,0.368819,0.270468
6.99,-0.067292,0.337079,0.247191
7.00,-0.063799,0.305445,0.223994
7.01,-0.059179,0.274381,0.201213
7.02,-0.053461,0.244373,0.179206
7.03,-0.046707,0.215921,0.158342
7.04,-0.039012,0.189531,0.138989
7.05,-0.030498,0.165689,0.121506
7.06,-0.021316,0.144860,0.106231
7.07,-0.011641,0.127463,0.093473
7.08,-0.001664,0.113863,0.083500
7.09,0.008407,0.104356,0.076528
7.10,0.018359,0.099165,0.072722
7.11,0.027978,0.098423,0.072178
7.12,0.037055,0.102172,0.074927
7.13,0.045390,0.110360,0.080930
7.14,0.052802,0.122836,0.090080
