group_id,group_index,story_band,zone_label,member_type,semantic_group,action_name,action_family,before_section,after_section,before_rebar_ratio,after_rebar_ratio,rebar_ratio_delta,before_thickness_scale,after_thickness_scale,before_detailing_quality,after_detailing_quality,cost_proxy_before,cost_proxy_after,cost_proxy_delta,max_dcr_before,max_dcr_after,max_dcr_delta,governing_member_governing_dcr_before,governing_member_governing_dcr_after,governing_clause,drift_before_pct,drift_after_pct,residual_before_pct,residual_after_pct,before_constructability,after_constructability,before_detailing_complexity,after_detailing_complexity,constructability_delta,overdesign_margin_delta,selection_gate,reason_selected
S04:perimeter:nogroup:slab:SB1500X800,230,4,perimeter,wall,,detailing_down,detailing,DBUSER,DBUSER,0.010000000000000002,0.010000000000000002,0.0,0.9600000000000004,0.9600000000000004,1.1,1.06,612.5999999999999,609.6595199999999,-2.9404799999999796,0.0,0.5069535770461602,0.5069535770461602,1.1714694739239129,1.1714694739239129,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4194000000000002,0.3474000000000002,0.6595999999999999,0.5995999999999999,-0.07200000000000001,-312.009554444245,hard_gate_pass,selected_best_gain_in_batch
S04:perimeter:nogroup:slab:default,231,4,perimeter,wall,,detailing_down,detailing,,,0.010000000000000005,0.010000000000000005,0.0,0.9600000000000002,0.9600000000000002,1.0999999999999996,1.0599999999999996,612.6000000000008,609.6595200000008,-2.9404799999999796,0.0,0.5069535770461602,0.5069535770461602,1.1156852132608692,1.1156852132608692,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4193999999999998,0.34739999999999976,0.6595999999999995,0.5995999999999995,-0.07200000000000001,-312.00955444424545,hard_gate_pass,selected_best_gain_in_batch
S06:perimeter:nogroup:slab:SB1500X800,292,6,perimeter,wall,,detailing_down,detailing,DBUSER,DBUSER,0.01,0.01,0.0,0.9600000000000004,0.9600000000000004,1.0999999999999999,1.0599999999999998,612.5999999999999,609.6595199999999,-2.9404799999999796,0.0,0.5501960651847768,0.5501960651847768,1.1714694739239129,1.1714694739239129,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4194000000000002,0.3474000000000002,0.6596,0.5995999999999999,-0.07200000000000001,-338.3727490064397,hard_gate_pass,selected_best_gain_in_batch
S07:perimeter:nogroup:slab:SB1500X800,298,7,perimeter,wall,,detailing_down,detailing,DBUSER,DBUSER,0.01,0.01,0.0,0.96,0.96,1.1,1.06,612.6000000000001,609.6595200000002,-2.9404799999999796,0.0,0.5501960651847768,0.5501960651847768,1.1714694739239129,1.1714694739239129,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.41940000000000005,0.34740000000000004,0.6596,0.5995999999999999,-0.07200000000000001,-338.3727490064398,hard_gate_pass,selected_best_gain_in_batch
S08:perimeter:nogroup:slab:SB1500X800,308,8,perimeter,wall,,detailing_down,detailing,DBUSER,DBUSER,0.01,0.01,0.0,0.9600000000000004,0.9600000000000004,1.0999999999999999,1.0599999999999998,612.5999999999999,609.6595199999999,-2.9404799999999796,0.0,0.5043428600582276,0.5043428600582276,1.101181305488478,1.101181305488478,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.41467847248584905,0.34267847248584904,0.6491451890758084,0.5891451890758084,-0.07200000000000001,-310.41790597852616,hard_gate_pass,selected_best_gain_in_batch
S04:transfer:nogroup:beam:SB800X7001.82,240,4,transfer,beam,,connection_detailing_down,connection_detailing,DBUSER,DBUSER,0.018,0.018,0.0,1.0,1.0,0.5499999999999999,0.6,216.45696,218.18861568,1.7316556799999887,0.4980614545454547,0.3521714054408085,-0.1458900491046462,1.2905454545454547,1.2905454545454547,KDS-SVC-DRIFT-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.46750000000000014,0.39550000000000013,0.6920000000000001,0.6320000000000001,-0.07200000000000001,32.70073258887727,hard_gate_pass,selected_best_gain_in_batch
S04:transfer:nogroup:beam:SB800X7001.95,246,4,transfer,beam,,connection_detailing_down,connection_detailing,DBUSER,DBUSER,0.017999999999999995,0.017999999999999995,0.0,1.0,1.0,0.5499999999999999,0.6,216.45696000000004,218.18861568000003,1.7316556799999887,0.4980614545454547,0.35217140544080866,-0.14589004910464604,1.2905454545454547,1.2905454545454547,KDS-SVC-DRIFT-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4675000000000002,0.3955000000000002,0.6920000000000001,0.6320000000000001,-0.07200000000000001,32.70073258887723,hard_gate_pass,selected_best_gain_in_batch
S04:transfer:nogroup:beam:SB800X7002.00,248,4,transfer,beam,,connection_detailing_down,connection_detailing,DBUSER,DBUSER,0.018,0.018,0.0,1.0,1.0,0.5499999999999999,0.6,216.45696000000004,218.18861568000003,1.7316556799999887,0.4980614545454547,0.35217140544080855,-0.14589004910464615,1.2905454545454547,1.2905454545454547,KDS-SVC-DRIFT-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4675000000000002,0.3955000000000002,0.6920000000000001,0.6320000000000001,-0.07200000000000001,32.70073258887729,hard_gate_pass,selected_best_gain_in_batch
S04:transfer:nogroup:beam:SB800X8002.00,251,4,transfer,beam,,connection_detailing_down,connection_detailing,DBUSER,DBUSER,0.018,0.018,0.0,1.0,1.0,0.5499999999999999,0.6,216.45696000000004,218.18861568000003,1.7316556799999887,0.4980614545454547,0.35217140544080844,-0.14589004910464626,1.2905454545454547,1.2905454545454547,KDS-SVC-DRIFT-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4675000000000002,0.3955000000000002,0.6920000000000001,0.6320000000000001,-0.07200000000000001,32.70073258887729,hard_gate_pass,selected_best_gain_in_batch
S04:transfer:nogroup:beam:SB800X9001.75,253,4,transfer,beam,,connection_detailing_down,connection_detailing,DBUSER,DBUSER,0.017999999999999995,0.017999999999999995,0.0,1.0,1.0,0.5499999999999999,0.6,216.45695999999998,218.18861567999997,1.7316556799999887,0.4980614545454547,0.35217140544080844,-0.14589004910464626,1.2905454545454547,1.2905454545454547,KDS-SVC-DRIFT-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.46750000000000014,0.39550000000000013,0.6920000000000001,0.6320000000000001,-0.07200000000000001,32.70073258887729,hard_gate_pass,selected_best_gain_in_batch
