time_s,across_wind_force_kN,along_wind_force_kN
67.0,9.700062,3.819072
68.0,50.306781,-15.001356
69.0,48.367093,-18.179368
70.0,5.039240,-24.629503
71.0,4.109361,-26.256073
72.0,4.369462,-2.694495
73.0,-19.148397,26.726996
74.0,-42.453516,29.998401
75.0,-52.099799,16.907918
76.0,-9.128076,9.953195
77.0,20.621038,-1.667776
78.0,5.318750,-26.596727
79.0,20.113266,-36.772761
80.0,41.601073,-16.037199
81.0,41.421087,7.632778
82.0,13.735978,14.791458
83.0,-33.426522,21.771945
84.0,-27.598022,30.426743
85.0,-12.997509,16.140469
86.0,-36.713673,-16.148207
87.0,-33.674135,-30.470526
88.0,-5.546231,-21.824185
89.0,32.876969,-14.841168
90.0,47.762883,-7.665774
91.0,15.506629,16.121972
92.0,17.083779,37.002593
93.0,29.524308,26.788620
94.0,-3.792401,1.681420
95.0,-36.134160,-10.044238
96.0,-51.119913,-17.078932
97.0,-27.232438,-30.330863
98.0,2.800177,-27.049101
99.0,-12.664946,2.729581
100.0,2.277859,26.623450
101.0,43.528897,24.998045
102.0,48.607663,18.469068
103.0,29.489437,15.255008
104.0,-8.519899,-3.887366
105.0,-14.861405,-31.754389
106.0,-2.637261,-34.250605
107.0,-38.185110,-11.919227
108.0,-52.112842,4.017829
109.0,-21.098670,11.266345
110.0,11.360102,26.380505
111.0,32.730518,33.817771
112.0,17.177445,11.515989
113.0,21.429300,-18.560854
114.0,49.228530,-25.658224
115.0,18.907942,-20.750804
116.0,-23.409888,-20.456147
117.0,-38.442933,-8.217196
118.0,-32.335826,21.832466
119.0,-12.732768,37.013412
120.0,-28.363289,21.688256
121.0,-22.289525,3.056272
122.0,32.101121,-4.951800
123.0,47.962017,-19.509540
124.0,33.971905,-35.565664
125.0,13.552098,-24.364194
126.0,4.107207,7.125070
127.0,13.125092,23.208612
128.0,-25.308977,21.560789
129.0,-60.119440,23.064601
130.0,-33.190523,18.471428
131.0,-6.833806,-8.806820
132.0,8.330791,-34.370402
133.0,8.085487,-29.426635
134.0,16.758997,-10.703410
135.0,56.565815,-1.406426
136.0,41.347410,10.945149
137.0,-7.082442,32.255000
138.0,-19.179891,33.769177
139.0,-21.992039,6.172571
140.0,-20.397181,-17.419916
141.0,-37.913942,-20.705526
142.0,-44.651627,-23.236185
143.0,10.233833,-25.598795
144.0,39.106646,-5.268781
145.0,26.723334,26.491269
146.0,24.354811,33.678712
147.0,23.843937,18.168624
148.0,29.870809,7.496049
149.0,-3.154049,-1.957137
150.0,-53.749933,-24.651851
151.0,-38.400880,-38.229443
152.0,-16.226146,-19.364196
153.0,-16.527624,8.581439
154.0,-10.324912,17.962527
155.0,4.890770,21.350578
156.0,49.477486,28.932374
157.0,55.125345,18.223725
158.0,8.853267,-14.436109
159.0,0.032710,-33.392123
160.0,0.301308,-24.462184
161.0,-16.312816,-13.080412
162.0,-39.383585,-6.358856
163.0,-57.105421,14.141771
164.0,-14.723288,37.056758
165.0,23.571606,30.348373
166.0,11.080698,2.435211
167.0,19.627132,-13.179406
168.0,37.519484,-17.862614
169.0,43.509243,-28.448930
170.0,20.098801,-28.149126
171.0,-34.320641,-0.000000
172.0,-34.448062,28.171620
173.0,-14.807649,28.494415
174.0,-32.597753,17.905470
175.0,-32.872418,13.221581
176.0,-11.016494,-2.444956
177.0,31.251144,-30.494163
178.0,54.453157,-37.264522
179.0,19.751250,-14.232420
180.0,13.469633,6.404728
181.0,26.390753,13.185297
182.0,-0.296410,24.678028
183.0,-32.703168,33.713663
184.0,-56.017903,14.586756
185.0,-33.552221,-18.428600
186.0,5.045830,-29.280995
187.0,-7.556350,-21.625090
188.0,1.061789,-18.207998
189.0,39.396791,-8.705652
190.0,50.896285,19.660159
191.0,36.472695,38.844705
192.0,-8.404376,25.068574
193.0,-21.225193,1.991808
194.0,-4.042851,-7.634925
195.0,-34.010044,-18.519978
196.0,-51.921730,-34.357366
197.0,-27.182608,-27.046622
198.0,8.844852,5.383518
199.0,38.807946,26.177086
200.0,21.483229,23.780022
201.0,17.909012,21.206999
202.0,46.731607,17.856011
203.0,23.276548,-6.332131
204.0,-19.402492,-34.669651
205.0,-42.798756,-33.141426
206.0,-38.829688,-11.254880
207.0,-11.042285,1.447375
208.0,-23.756827,11.023794
209.0,-24.411093,30.331524
210.0,27.423883,35.455435
211.0,50.133089,9.092050
212.0,41.101915,-19.084794
213.0,14.479821,-23.849384
214.0,-1.592218,-22.312073
215.0,12.277116,-24.036343
216.0,-20.555458,-7.385028
217.0,-60.089197,25.273112
218.0,-39.698435,36.921651
219.0,-10.036058,20.269385
220.0,13.518826,5.148727
221.0,12.064121,-3.180327
222.0,12.998795,-22.586419
223.0,54.189732,-38.576660
224.0,46.483083,-22.772509
225.0,-2.424396,8.577766
226.0,-22.810683,21.370593
227.0,-28.099850,21.695505
228.0,-18.927140,26.847468
229.0,-33.533151,19.436425
230.0,-47.498038,-12.068721
231.0,4.701966,-35.468786
232.0,40.877357,-27.690170
233.0,33.577041,-11.834953
234.0,25.620383,-4.223920
235.0,18.757312,12.540445
236.0,29.545750,36.063966
237.0,2.433927,33.461791
238.0,-53.360967,4.099593
239.0,-45.045800,-16.100434
240.0,-19.744354,-19.507862
241.0,-12.143269,-26.424701
242.0,-6.943397,-28.164852
243.0,0.675099,-2.889869
244.0,46.714486,28.659825
245.0,60.641752,32.162063
246.0,14.076741,18.124167
247.0,-2.954536,10.667246
248.0,-5.075373,-1.787101
249.0,-14.651208,-28.494488
250.0,-34.926136,-39.389451
251.0,-60.255917,-17.175245
252.0,-21.109426,8.172925
253.0,24.764620,15.835292
254.0,17.419163,23.304096
255.0,20.691259,32.561931
256.0,32.767808,17.269915
257.0,43.532034,-17.274977
258.0,26.453115,-32.590572
259.0,-33.191756,-23.338269
260.0,-40.916111,-15.867811
261.0,-18.263408,-8.194510
262.0,-28.635691,17.230701
263.0,-30.131089,39.539798
264.0,-15.754398,28.620017
265.0,27.792815,1.796026
266.0,59.842507,-10.726802
267.0,25.311694,-18.236038
268.0,10.866086,-32.379547
269.0,21.758202,-28.870533
270.0,1.892914,2.912821
271.0,-27.919627,28.405176
272.0,-59.007981,26.665787
273.0,-40.491203,19.697372
274.0,5.643437,16.266363
275.0,-1.751547,-4.144268
276.0,1.542931,-33.846241
277.0,34.573868,-36.499666
278.0,51.018436,-12.699378
279.0,43.280643,4.279955
280.0,-6.440104,11.998973
281.0,-27.264880,28.090349
282.0,-7.175158,36.002424
283.0,-29.979745,12.257461
284.0,-49.612944,-19.751927
285.0,-32.369868,-27.299213
286.0,4.661723,-22.073452
287.0,43.650727,-21.755581
288.0,27.070240,-8.737392
289.0,15.377377,23.209833
290.0,42.559769,39.340438
291.0,26.120083,23.047047
292.0,-14.145933,3.247080
293.0,-45.299830,-5.259861
294.0,-45.858532,-20.718968
295.0,-10.884893,-37.762584
296.0,-18.332051,-25.863797
297.0,-24.604852,7.562033
298.0,22.154804,24.626781
299.0,50.099822,22.873462
300.0,47.968550,24.463678
301.0,17.071613,19.587752
302.0,-7.098071,-9.337086
303.0,9.559881,-36.432145
304.0,-16.068514,-31.185191
305.0,-57.837331,-11.340636
306.0,-45.156108,-1.489839
307.0,-14.740708,11.591808
308.0,17.645312,34.153354
309.0,17.385046,35.748958
310.0,10.284151,6.533042
311.0,50.055693,-18.433233
312.0,49.848873,-21.905223
313.0,3.326130,-24.577177
314.0,-24.720075,-27.070247
315.0,-34.796142,-5.570423
316.0,-18.929217,28.001797
317.0,-28.252956,35.591275
318.0,-48.177415,19.196180
319.0,-1.206014,7.918259
320.0,40.488253,-2.066916
321.0,40.185672,-26.028865
322.0,28.444645,-40.355949
323.0,13.704164,-20.436795
324.0,27.181972,9.054760
325.0,7.525769,18.949055
326.0,-50.780222,22.518158
327.0,-50.539692,30.507752
328.0,-24.661273,19.211709
329.0,-8.613229,-15.215335
330.0,-2.057922,-35.186636
331.0,-2.360850,-25.770989
332.0,42.248143,-13.777146
333.0,64.204129,-6.696048
334.0,20.218219,14.888295
335.0,-4.377481,39.004073
336.0,-11.224164,31.935900
337.0,-14.509045,2.562013
338.0,-29.561309,-13.862495
339.0,-61.076415,-18.784137
340.0,-27.597596,-29.909740
341.0,23.922871,-29.587747
342.0,23.623802,-0.000000
343.0,23.353085,29.597759
344.0,27.930837,29.929985
345.0,41.362324,18.803212
346.0,32.044565,13.881267
347.0,-30.045658,-2.566350
348.0,-46.221592,-32.000789
349.0,-23.113619,-39.096547
350.0,-25.384698,-14.928642
351.0,-25.663713,6.716465
352.0,-19.123456,13.823829
353.0,22.812981,25.867059
354.0,63.231582,35.329750
355.0,31.649581,15.282387
356.0,9.708767,-19.302897
357.0,16.108277,-30.662919
358.0,2.386363,-22.640340
359.0,-22.308183,-19.058311
360.0,-59.638149,-9.110046
361.0,-47.295985,20.568524
362.0,4.381379,40.629795
363.0,4.077871,26.214344
364.0,3.811702,2.082348
365.0,29.660981,-7.980071
366.0,48.850749,-19.352564
367.0,49.109107,-35.893336
368.0,-2.725300,-28.248979
369.0,-32.234868,5.621491
370.0,-11.798278,27.327638
371.0,-26.660588,24.819233
372.0,-45.375007,22.128423
373.0,-35.981541,18.627334
374.0,-0.794924,-6.604060
375.0,46.612744,-36.149749
376.0,33.382426,-34.547893
377.0,14.258848,-11.729666
378.0,37.165993,1.508065
379.0,26.994802,11.483235
380.0,-8.222578,31.587947
381.0,-45.548748,36.915081
382.0,-52.648489,9.464039
383.0,-12.420303,-19.860755
384.0,-12.735359,-24.812976
385.0,-22.729522,-23.207850
386.0,16.944964,-24.995194
387.0,47.767040,-7.677738
388.0,53.755824,26.268346
389.0,21.155877,38.366119
390.0,-11.710702,21.057167
391.0,5.185693,5.347511
392.0,-12.458914,-3.302296
393.0,-53.562554,-23.446810
394.0,-48.860098,-40.036222
395.0,-20.489178,-23.628236
396.0,20.134382,8.897878
397.0,23.502226,22.162591
398.0,9.051132,22.493928
399.0,44.627163,27.828533
400.0,50.959857,20.141634
401.0,9.527705,-12.503475
402.0,-24.575771,-36.737273
403.0,-41.326880,-28.673266
404.0,-20.536710,-12.252054
405.0,-22.715720,-4.371684
406.0,-46.515987,12.975875
407.0,-6.771743,37.306774
408.0,37.891610,34.606187
409.0,45.752133,4.238729
410.0,32.619278,-16.642653
411.0,9.344681,-20.159728
412.0,22.974107,-27.300777
413.0,11.453571,-29.091237
414.0,-46.252693,-2.984163
415.0,-54.177638,29.587449
416.0,-30.483260,33.194594
417.0,-6.453239,18.701261
418.0,3.811724,11.004096
419.0,-3.757494,-1.843064
420.0,36.586527,-29.379281
421.0,65.317824,-40.602163
422.0,26.587534,-17.699501
423.0,-3.959942,8.420238
424.0,-17.431805,16.310285
425.0,-16.020915,23.996961
426.0,-23.947960,33.521433
427.0,-59.393486,17.774238
428.0,-33.408670,-17.774873
429.0,21.055570,-33.525028
430.0,28.931173,-24.001250
431.0,27.404288,-16.314365
432.0,23.650313,-8.422946
433.0,37.192068,17.706460
434.0,36.159106,40.621029
435.0,-25.195661,29.395033
436.0,-49.680269,1.844184
437.0,-28.855969,-11.011570
438.0,-23.329011,-18.715299
439.0,-19.965011,-33.221886
440.0,-20.640478,-29.613890
441.0,16.880670,2.987043
442.0,64.151544,29.121395
443.0,38.044970,27.331029
444.0,10.237620,20.183509
445.0,10.117139,16.663475
446.0,1.029338,-4.244335
447.0,-16.558372,-34.654430
448.0,-57.766855,-37.361448
449.0,-53.152408,-12.995819
450.0,1.323119,4.378716
451.0,9.200532,12.272637
452.0,7.681193,28.723483
453.0,25.307632,36.804237
454.0,44.600471,12.527160
455.0,53.223626,-20.181225
456.0,2.358275,-27.885220
457.0,-35.486477,-22.541355
458.0,-17.416602,-22.210902
459.0,-24.536763,-8.917908
460.0,-39.694708,23.683114
461.0,-37.520267,40.132066
462.0,-6.899211,23.504612
463.0,47.275600,3.310672
464.0,39.691681,-5.361457
465.0,14.777626,-21.113583
466.0,31.211139,-38.471644
467.0,25.723878,-26.342469
468.0,-2.357735,7.699949
469.0,-43.454145,25.069286
470.0,-58.382482,23.278296
471.0,-15.544292,24.890061
472.0,-7.678264,19.923869
473.0,-18.950647,-9.494788
474.0,12.471174,-37.037645
475.0,43.372838,-31.695070
476.0,57.736029,-11.522995
477.0,26.301330,-1.513394
478.0,-14.820120,11.771946
479.0,-0.359027,34.674876
480.0,-10.230597,36.285187
481.0,-47.768054,6.629271
482.0,-50.313874,-18.699767
483.0,-26.616802,-22.216040
484.0,20.623179,-24.919264
485.0,29.696105,-27.439717
486.0,9.521877,-5.644945
487.0,38.575964,28.368840
488.0,49.631074,36.048174
489.0,15.423456,19.437418
490.0,-22.338070,8.015626
491.0,-46.896061,-2.091773
492.0,-23.623300,-26.334847
493.0,-17.628185,-40.819435
494.0,-42.674744,-20.665981
495.0,-11.286721,9.153854
496.0,33.365441,19.151303
497.0,49.573399,22.752407
498.0,37.689949,30.816860
499.0,6.258862,19.401166
500.0,17.406606,-15.361264
501.0,13.692026,-35.514587
502.0,-40.317515,-26.004210
503.0,-55.479631,-13.898097
504.0,-36.528099,-6.753022
505.0,-5.983338,15.010945
506.0,9.960371,39.314836
507.0,-3.290762,32.181706
508.0,30.429971,2.581040
509.0,63.812057,-13.961693
510.0,32.407678,-18.913472
511.0,-1.702922,-30.107588
512.0,-22.930476,-29.775463
513.0,-19.054003,0.000000
514.0,-18.799602,29.769530
515.0,-55.385523,30.095591
516.0,-37.813938,18.902169
517.0,16.481030,13.950569
518.0,32.667606,-2.578469
519.0,32.387927,-32.143254
520.0,20.491524,-39.260038
521.0,31.515213,-14.987036
522.0,38.263301,6.740923
523.0,-19.222642,13.870434
524.0,-50.840078,25.947281
525.0,-34.805892,35.429780
526.0,-22.766209,15.321531
527.0,-13.731969,-19.347130
528.0,-20.084040,-30.724911
529.0,10.727198,-22.680005
530.0,62.464549,-19.086560
531.0,43.715087,-9.121092
532.0,12.425900,20.587921
533.0,4.533269,40.657159
534.0,-2.044379,26.224936
535.0,-11.394991,2.082628
536.0,-53.605360,-7.978997
537.0,-57.331390,-19.344748
538.0,-3.180529,-35.869179
539.0,12.966219,-28.222365
540.0,12.697817,5.614683
541.0,22.077627,27.287192
542.0,38.781401,24.775827
543.0,55.100997,22.083776
544.0,8.197119,18.584747
545.0,-36.598947,-6.587187
546.0,-23.348285,-36.047686
547.0,-23.898922,-34.441080
548.0,-33.274121,-11.690254
549.0,-36.776965,1.502593
550.0,-12.899161,11.438493
551.0,45.540605,31.456405
552.0,45.221094,36.751466
553.0,16.892481,9.419558
554.0,25.440075,-19.762093
555.0,22.448430,-24.683074
556.0,2.715655,-23.080145
557.0,-39.263173,-24.850971
558.0,-62.347865,-7.631385
559.0,-19.885687,26.102741
560.0,-3.797652,38.114001
561.0,-13.726413,20.913173
562.0,9.299275,5.309517
563.0,37.456125,-3.277953
564.0,59.409598,-23.267721
565.0,31.878770,-39.719758
566.0,-16.031488,-23.435177
567.0,-6.391390,8.822808
568.0,-9.670145,21.969716
569.0,-41.172360,22.292189
570.0,-49.331060,27.571556
571.0,-32.365962,19.950292
572.0,19.044603,-12.381376
573.0,35.199512,-36.368780
574.0,11.644188,-28.378058
575.0,32.654624,-12.122666
576.0,46.024311,-4.324359
577.0,20.281293,12.831972
578.0,-18.282181,36.883172
579.0,-50.812507,34.204101
580.0,-27.807595,4.188359
581.0,-13.621897,-16.440493
582.0,-37.130147,-19.909526
583.0,-14.191381,-26.954748
584.0,27.471860,-28.714848
585.0,51.176612,-2.944767
586.0,43.025459,29.189060
587.0,4.826097,32.738905
588.0,11.171420,18.439617
589.0,13.967924,10.847251
590.0,-33.711075,-1.816310
591.0,-54.288562,-28.945108
592.0,-42.043593,-39.991493
593.0,-7.253436,-17.428658
594.0,15.625164,8.289185
595.0,-1.027880,16.052164
596.0,24.538374,23.610922
597.0,59.880196,32.973418
598.0,36.958479,17.479021
599.0,2.102300,-17.475010
600.0,-27.042673,-32.950722
601.0,-23.218775,-23.583842
602.0,-14.744349,-16.026396
603.0,-49.556320,-8.272080
604.0,-40.275072,17.384714
605.0,10.775899,39.872354
606.0,34.380718,28.845636
607.0,37.672905,1.809238
608.0,18.826902,-10.800057
609.0,25.039833,-18.350968
610.0,38.111223,-32.566565
611.0,-12.870114,-29.022089
612.0,-49.572494,2.926579
613.0,-40.218883,28.524410
614.0,-23.739440,26.763705
615.0,-7.734116,19.759353
616.0,-17.545037,16.309006
617.0,5.108562,-4.152958
618.0,58.395639,-33.899453
619.0,47.959722,-36.537912
620.0,15.974986,-12.706030
621.0,0.034074,4.279955
622.0,-6.428935,11.992692
623.0,-7.437528,28.060946
624.0,-47.682776,35.945912
625.0,-59.327533,12.231814
626.0,-8.550444,-19.700281
627.0,14.932983,-27.213581
628.0,18.220341,-21.992694
629.0,20.335791,-21.664641
630.0,32.119743,-8.696316
631.0,54.531556,23.088630
632.0,14.057816,39.114520
633.0,-35.463597,22.902707
634.0,-28.850473,3.225056
635.0,-24.781814,-5.221451
636.0,-26.897972,-20.556912
637.0,-33.875076,-37.447624
638.0,-18.057866,-25.634667
639.0,41.651609,7.491121
640.0,49.290583,24.383093
641.0,20.298439,22.635286
642.0,20.538708,24.196291
643.0,17.605012,19.363536
644.0,6.397404,-9.225385
645.0,-33.517815,-35.977495
646.0,-64.071689,-30.779937
647.0,-24.872392,-11.187419
648.0,-1.532497,-1.468943
649.0,-7.723502,11.423263
650.0,7.773977,33.639201
651.0,30.755962,35.192415
652.0,58.601204,6.427980
653.0,37.177925,-18.127341
654.0,-15.242332,-21.530486
655.0,-12.160213,-24.144140
656.0,-10.789764,-26.579428
657.0,-34.573106,-5.466575
658.0,-46.072272,27.465459
659.0,-37.029023,34.891397
660.0,15.641705,18.808908
661.0,39.342760,7.754476
662.0,15.099796,-2.023111
663.0,27.553188,-25.463976
664.0,40.618182,-39.459610
665.0,23.532869,-19.972494
666.0,-12.946666,8.844451
667.0,-52.620955,18.499327
668.0,-32.525038,21.972314
669.0,-11.133373,29.752797
670.0,-30.583816,18.726574
671.0,-15.181035,-14.823428
672.0,20.950362,-34.262558
673.0,50.408440,-25.081190
674.0,47.937995,-13.401438
675.0,5.154148,-6.510074
676.0,5.036493,14.467304
677.0,12.310787,37.881572
678.0,-27.227423,31.000784
679.0,-50.798915,2.485710
680.0,-46.350820,-13.442692
681.0,-10.036058,-18.205890
682.0,20.130230,-28.974050
683.0,2.687810,-28.647354
684.0,19.588213,-0.000000
685.0,54.041516,28.627528
686.0,39.712721,28.933962
687.0,6.932348,18.168118
688.0,-29.308489,13.405520
689.0,-27.946357,-2.477121
690.0,-12.208653,-30.872289
691.0,-42.637993,-37.698454
692.0,-40.544150,-14.387408
693.0,4.663497,6.469643
694.0,33.922366,13.308995
695.0,42.577097,24.890950
696.0,18.770587,33.979160
697.0,18.553007,14.690651
698.0,35.787264,-18.546002
699.0,-6.902689,-29.445530
700.0,-46.093081,-21.730366
701.0,-44.433462,-18.282975
702.0,-26.036329,-8.734972
703.0,-2.668674,19.711640
704.0,-13.403810,38.917333
705.0,0.664104,25.096687
706.0,52.486255,1.992553
707.0,50.293360,-7.632074
708.0,20.378181,-18.499233
709.0,-2.898492,-34.293248
710.0,-11.529797,-26.975984
711.0,-5.088304,5.365448
712.0,-40.742700,26.069736
713.0,-58.951854,23.664816
714.0,-14.094362,21.088499
715.0,14.944392,17.742977
716.0,23.546492,-6.287349
717.0,20.188360,-34.398759
718.0,25.415553,-32.857927
719.0,51.653204,-11.150274
720.0,19.228520,1.432852
721.0,-32.296999,10.905040
722.0,-33.262154,29.982390
723.0,-26.969517,35.021174
724.0,-21.288204,8.973990
725.0,-29.239248,-18.822930
726.0,-21.791354,-23.504603
727.0,36.141621,-21.973122
728.0,51.444660,-23.653552
729.0,24.495923,-7.262001
730.0,17.012030,24.833568
731.0,11.835104,36.252490
732.0,8.326239,19.887203
733.0,-26.946687,5.047885
734.0,-63.405959,-3.115716
735.0,-29.848834,-22.111088
736.0,-1.051803,-37.736711
737.0,-1.685943,-22.260099
738.0,7.966382,8.378519
739.0,24.070469,20.858670
740.0,55.485114,21.160058
741.0,41.547252,26.165411
742.0,-12.649599,18.928573
743.0,-16.989252,-11.744649
744.0,-13.340110,-34.490747
745.0,-28.701628,-26.906639
746.0,-41.005036,-11.491534
747.0,-40.081391,-4.098311
748.0,10.909420,12.158503
749.0,41.677596,34.939660
750.0,19.379253,32.394590
751.0,23.780418,3.965905
752.0,34.109732,-15.563868
753.0,24.872594,-18.843785
754.0,-7.022239,-25.506285
755.0,-52.180973,-27.165855
756.0,-37.147214,-2.785306
757.0,-10.337345,27.602436
758.0,-23.826326,30.952589
759.0,-14.249230,17.429723
760.0,14.575743,10.250953
761.0,47.452858,-1.716093
762.0,51.820916,-27.342125
763.0,7.077125,-37.768635
764.0,-0.298259,-16.456385
765.0,9.030739,7.825089
766.0,-21.574834,15.150199
767.0,-45.508370,22.279484
768.0,-48.972072,31.107408
769.0,-13.887921,16.486363
770.0,23.008021,-16.479093
771.0,7.318378,-31.066271
772.0,16.058861,-22.230402
773.0,47.035308,-15.103493
774.0,40.426875,-7.794087
775.0,12.144497,16.376734
776.0,-29.560072,37.552694
777.0,-32.610466,27.161830
778.0,-11.356748,1.703274
779.0,-35.450530,-10.165412
780.0,-38.696253,-17.269044
781.0,-1.127295,-30.640221
782.0,31.460399,-27.299799
783.0,46.504271,2.752340
784.0,20.181295,26.820682
785.0,12.776184,25.160016
786.0,31.673567,18.571594
787.0,-1.967399,15.325547
788.0,-40.906135,-3.901739
789.0,-46.994694,-31.842409
790.0,-29.253701,-34.313870
791.0,0.959287,-11.930230
792.0,-8.241160,4.017829
793.0,-2.189559,11.255954
794.0,45.482933,26.331867
795.0,50.527364,33.724290
796.0,25.034527,11.473565
797.0,-4.049386,-18.475423
798.0,-16.689926,-25.516575
799.0,-4.479516,-20.617218
800.0,-33.600685,-20.305718
801.0,-56.353362,-8.149249
802.0,-19.145215,21.631975
803.0,13.136541,36.639707
804.0,28.051042,21.449493
805.0,21.492001,3.019840
806.0,19.398470,-4.888264
807.0,46.908663,-19.241474
808.0,23.150303,-35.044670
809.0,-27.580724,-23.985176
810.0,-36.124487,7.007770
811.0,-30.064787,22.805514
812.0,-16.985629,21.166808
813.0,-23.498496,22.622301
814.0,-23.765085,18.100538
815.0,29.719265,-8.622047
816.0,51.526933,-33.618338
817.0,28.906170,-28.756279
818.0,15.115726,-10.449964
819.0,5.853105,-1.371861
820.0,8.423475,10.666348
821.0,-20.323308,31.404507
822.0,-60.539818,32.848565
823.0,-34.210595,5.998783
824.0,-2.251914,-16.913922
825.0,3.705758,-20.085650
826.0,9.691620,-22.519874
827.0,18.114688,-24.786902
828.0,50.534020,-5.097000
829.0,44.516899,25.604079
830.0,-8.686655,32.521002
831.0,-20.395509,17.528013
832.0,-16.886801,7.225126
833.0,-24.107821,-1.884676
834.0,-34.799526,-23.717434
835.0,-41.267831,-36.746753
836.0,5.481910,-18.596169
837.0,42.045987,8.233554
838.0,23.900168,17.218606
839.0,21.600390,20.447665
840.0,27.276163,27.683556
841.0,24.290591,17.421232
842.0,-1.213406,-13.787832
843.0,-49.672903,-31.863550
844.0,-41.113274,-23.321145
845.0,-11.148971,-12.458931
846.0,-17.593506,-6.051224
847.0,-11.658878,13.445384
848.0,9.020484,35.199960
849.0,42.774246,28.801542
850.0,54.264416,2.308993
851.0,10.219918,-12.484983
852.0,-4.317700,-16.906099
853.0,4.632540,-26.901149
854.0,-17.267184,-26.593564
855.0,-39.107645,0.000000
856.0,-49.707950,26.566702
857.0,-18.260070,26.846832
858.0,24.064712,16.854922
859.0,12.253696,12.434618
860.0,14.177365,-2.297356
861.0,39.678014,-28.627442
862.0,39.162718,-34.951852
863.0,17.110336,-13.337132
864.0,-27.924637,5.996444
865.0,-36.657554,12.333679
866.0,-12.099161,23.063387
867.0,-28.757242,31.479571
868.0,-35.087920,13.607931
869.0,-5.992653,-17.176574
870.0,27.418663,-27.267238
871.0,49.055369,-20.119846
872.0,22.728529,-16.925468
873.0,8.250472,-8.085220
874.0,26.353873,18.242735
875.0,1.504593,36.012016
876.0,-34.691177,23.219789
877.0,-47.724126,1.843273
878.0,-32.905895,-7.059281
879.0,2.900432,-17.108431
880.0,-2.710832,-31.710563
881.0,-3.302387,-24.940884
882.0,38.193492,4.959982
883.0,48.780905,24.096314
884.0,29.377941,21.870431
885.0,-3.472470,19.486797
886.0,-21.321327,16.393142
887.0,-5.489971,-5.808240
888.0,-27.002396,-31.773231
889.0,-51.965732,-30.345950
890.0,-23.182918,-10.296471
891.0,9.876643,1.322961
892.0,31.296067,10.067366
893.0,23.924008,27.675673
894.0,14.616556,32.322606
895.0,40.940534,8.281430
896.0,25.502395,-17.368065
897.0,-21.947608,-21.685124
898.0,-37.245925,-20.269634
899.0,-33.598381,-21.817050
900.0,-14.288417,-6.697332
901.0,-17.353458,22.899758
902.0,-23.924589,33.425369
903.0,23.128682,18.334076
904.0,49.682518,4.653097
905.0,32.997262,-2.871695
906.0,14.855718,-20.376919
907.0,0.311261,-34.772898
908.0,6.866210,-20.509389
909.0,-14.330846,7.718663
910.0,-55.937836,19.213698
911.0,-37.516960,19.489070
912.0,-4.819001,24.096397
913.0,7.946030,17.429827
914.0,12.586412,-10.813500
915.0,13.415363,-31.752670
916.0,44.408529,-24.767883
917.0,45.870607,-10.576930
918.0,-3.912071,-3.771717
919.0,-22.151307,11.188380
920.0,-20.924385,32.148378
921.0,-21.103279,29.803453
922.0,-28.191678,3.648300
923.0,-40.620134,-14.315950
924.0,0.000000,-17.331080
925.0,40.577230,-23.456323
926.0,28.132156,-24.979960
927.0,21.036481,-2.560927
928.0,20.836124,25.376294
929.0,22.034575,28.453426
